Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls p90,Ast p90,G+A p90,G-PK p90,G+A-PK p90,xG p90,xAG p90,xG+xAG p90,npxG p90,npxG+xAG p90
1248,Gian-Luca Itter,de GER,DF,Greuther Fürth,de Bundesliga,22,1999,24,16,1455,16.2,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.1,28,57,40,0,0.06,0.06,0,0.06,0.02,0.05,0.07,0.02,0.07
1249,Alex Iwobi,ng NGA,MFDF,Everton,eng Premier League,25,1996,28,22,2035,22.6,2,2,4,2,0,0,1,0,2.3,2.3,2.6,4.9,44,103,104,0.09,0.09,0.18,0.09,0.18,0.1,0.12,0.22,0.1,0.22
1250,Armando Izzo,it ITA,DF,Torino,it Serie A,29,1992,11,6,526,5.8,0,0,0,0,0,0,4,0,0.6,0.6,0,0.6,6,27,8,0,0,0,0,0,0.11,0,0.11,0.11,0.11
1251,Nicolas Jackson,sn SEN,FWMF,Villarreal,es La Liga,20,2001,9,0,165,1.8,0,0,0,0,0,0,1,0,1,1,0.5,1.4,6,4,20,0,0,0,0,0,0.52,0.26,0.78,0.52,0.78
1252,Lee Jae-sung,kr KOR,MFFW,Mainz 05,de Bundesliga,28,1992,27,19,1436,16,4,3,7,4,0,0,3,0,3.2,3.2,1.6,4.8,21,68,93,0.25,0.19,0.44,0.25,0.44,0.2,0.1,0.3,0.2,0.3
1253,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,23,1998,24,22,2047,22.7,0,0,0,0,0,0,5,0,0.1,0.1,0.6,0.6,13,71,5,0,0,0,0,0,0,0.02,0.03,0,0.03
1254,Mato Jajalo,ba BIH,MF,Udinese,it Serie A,33,1988,22,6,629,7,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,3,31,7,0,0.14,0.14,0,0.14,0.05,0.12,0.17,0.05,0.17
1255,Kristijan Jakić,hr CRO,MF,Eint Frankfurt,de Bundesliga,24,1997,26,21,1879,20.9,1,0,1,1,0,0,6,0,1.7,1.7,0.5,2.2,23,90,27,0.05,0,0.05,0.05,0.05,0.08,0.02,0.1,0.08,0.1
1256,Ismail Jakobs,sn SEN,DFFW,Monaco,fr Ligue 1,21,1999,28,10,1203,13.4,0,1,1,0,0,0,1,0,0.4,0.4,3.5,3.9,45,70,100,0,0.07,0.07,0,0.07,0.03,0.26,0.29,0.03,0.29
1257,Marin Jakoliš,hr CRO,FW,Angers,fr Ligue 1,24,1996,10,2,229,2.5,0,0,0,0,0,0,0,0,1.1,1.1,0.3,1.4,5,4,17,0,0,0,0,0,0.42,0.13,0.54,0.42,0.54
1258,Abdel Jalil Medioub,dz ALG,DF,Bordeaux,fr Ligue 1,23,1997,10,6,622,6.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,12,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
1259,Daniel James,wls WAL,FW,Manchester Utd,eng Premier League,23,1997,2,2,126,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.6,5,3,16,0,0,0,0,0,0.18,0.24,0.42,0.18,0.42
1260,Daniel James,wls WAL,FWMF,Leeds United,eng Premier League,23,1997,32,29,2366,26.3,4,4,8,4,0,0,7,1,6.1,6.1,2.9,8.9,69,57,186,0.15,0.15,0.3,0.15,0.3,0.23,0.11,0.34,0.23,0.34
1261,Reece James,eng ENG,DF,Chelsea,eng Premier League,21,1999,26,22,1864,20.7,5,9,14,5,0,0,4,1,3.1,3.1,5.9,9.1,52,149,203,0.24,0.43,0.68,0.24,0.68,0.15,0.29,0.44,0.15,0.44
1262,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,23,1998,31,27,2298,25.5,4,0,4,4,0,0,3,0,2.4,2.4,1.9,4.2,25,103,60,0.16,0,0.16,0.16,0.16,0.09,0.07,0.17,0.09,0.17
1263,Jakub Jankto,cz CZE,DFMF,Getafe,es La Liga,25,1996,14,6,587,6.5,0,2,2,0,0,0,1,1,0.2,0.2,1.4,1.6,8,20,32,0,0.31,0.31,0,0.31,0.03,0.22,0.25,0.03,0.25
1264,Pontus Jansson,se SWE,DF,Brentford,eng Premier League,30,1991,37,37,3321,36.9,3,1,4,3,0,0,7,0,3,3,0.3,3.3,4,67,5,0.08,0.03,0.11,0.08,0.11,0.08,0.01,0.09,0.08,0.09
1265,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,31,1990,3,3,225,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,6,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02
1266,Adnan Januzaj,be BEL,FWMF,Real Sociedad,es La Liga,26,1995,33,17,1625,18.1,3,0,3,1,2,2,5,0,4.1,2.5,2.9,5.4,65,80,140,0.17,0,0.17,0.06,0.06,0.23,0.16,0.39,0.14,0.3
1267,Paweł Jaroszyński,pl POL,DF,Salernitana,it Serie A,26,1994,13,4,516,5.7,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,4,10,11,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11
1268,Jason,es ESP,MFFW,Alavés,es La Liga,27,1994,14,10,678,7.5,0,1,1,0,0,0,1,0,0.9,0.9,1.7,2.6,11,10,31,0,0.13,0.13,0,0.13,0.13,0.22,0.35,0.13,0.35
1269,Jason,es ESP,MFDF,Valencia,es La Liga,27,1994,5,1,75,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,4,4,6,0,0,0,0,0,0.07,0.29,0.36,0.07,0.36
1270,Dennis Jastrzembski,pl POL,DFFW,Hertha BSC,de Bundesliga,21,2000,8,1,225,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,9,6,21,0,0,0,0,0,0.02,0.28,0.3,0.02,0.3
1271,Luis Javier Suárez,co COL,FW,Granada,es La Liga,23,1997,37,34,2844,31.6,8,4,12,8,0,1,6,0,9.8,9.1,3.1,12.2,62,63,196,0.25,0.13,0.38,0.25,0.38,0.31,0.1,0.41,0.29,0.39
1272,Corentin Jean,fr FRA,FWMF,Lens,fr Ligue 1,26,1995,17,1,255,2.8,1,0,1,1,0,0,2,0,1,1,0.3,1.3,4,11,21,0.35,0,0.35,0.35,0.35,0.35,0.11,0.46,0.35,0.46
1273,Jemerson,br BRA,DF,Metz,fr Ligue 1,28,1992,15,15,1202,13.4,0,0,0,0,0,0,3,2,0.6,0.6,0.5,1.1,5,15,2,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
1274,Fredrik Jensen,fi FIN,MFFW,Augsburg,de Bundesliga,23,1997,12,2,418,4.6,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,10,10,21,0,0.22,0.22,0,0.22,0.04,0.13,0.17,0.04,0.17
1275,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,25,1996,31,19,1601,17.8,0,1,1,0,0,0,0,0,2.9,2.9,3.2,6.2,14,103,54,0,0.06,0.06,0,0.06,0.17,0.18,0.35,0.17,0.35
1276,Moritz Jenz,de GER,DF,Lorient,fr Ligue 1,22,1999,17,16,1381,15.3,1,0,1,1,0,0,5,1,1.2,1.2,0.1,1.3,9,29,3,0.07,0,0.07,0.07,0.07,0.08,0.01,0.08,0.08,0.08
1277,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,24,1997,28,21,1877,20.9,8,8,16,7,1,1,1,0,9.8,9,5.7,14.7,51,55,220,0.38,0.38,0.77,0.34,0.72,0.47,0.28,0.74,0.43,0.71
1278,Juan Jesus,br BRA,DF,Napoli,it Serie A,30,1991,21,14,1278,14.2,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.6,1,36,0,0.07,0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04
1279,Álvaro Jiménez,es ESP,MFFW,Cádiz,es La Liga,26,1995,9,1,234,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,11,5,19,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08
1280,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,30,1991,34,30,2631,29.2,6,4,10,5,1,1,9,2,6.1,5.4,3.1,8.5,40,65,163,0.21,0.14,0.34,0.17,0.31,0.21,0.1,0.31,0.19,0.29
1281,João Pedro,br BRA,FWMF,Watford,eng Premier League,19,2001,28,15,1644,18.3,3,1,4,3,0,0,1,0,3.6,3.6,2.8,6.3,54,77,102,0.16,0.05,0.22,0.16,0.22,0.2,0.15,0.35,0.2,0.35
1282,Joaquín,es ESP,FWMF,Betis,es La Liga,40,1981,21,2,471,5.2,0,1,1,0,0,0,0,0,2,2,1.4,3.4,31,28,46,0,0.19,0.19,0,0.19,0.38,0.28,0.65,0.38,0.65
1283,Joelinton,br BRA,MFFW,Newcastle Utd,eng Premier League,24,1996,35,30,2558,28.4,4,1,5,4,0,0,8,0,3.3,3.3,1.9,5.2,45,92,90,0.14,0.04,0.18,0.14,0.18,0.12,0.07,0.18,0.12,0.18
1284,Jofre,es ESP,MFDF,Espanyol,es La Liga,20,2001,3,0,20,0.2,0,1,1,0,0,0,0,0,0,0,0.4,0.4,1,0,7,0,4.5,4.5,0,4.5,0,2.01,2.01,0,2.01
1285,Marco John,de GER,DF,Hoffenheim,de Bundesliga,19,2002,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0
1286,Dennis Johnsen,no NOR,FWMF,Venezia,it Serie A,23,1998,26,17,1445,16.1,1,2,3,1,0,0,2,0,2.3,2.3,2.8,5.1,36,31,140,0.06,0.12,0.19,0.06,0.19,0.14,0.17,0.31,0.14,0.31
1287,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,21,2000,20,16,1397,15.5,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.7,23,64,67,0.06,0,0.06,0.06,0.06,0.01,0.04,0.05,0.01,0.05
1288,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,20,2001,15,10,851,9.5,1,1,2,1,0,0,0,0,0.9,0.9,0.6,1.5,25,58,54,0.11,0.11,0.21,0.11,0.21,0.1,0.07,0.16,0.1,0.16
1289,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,29,1992,4,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
1290,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,24,1997,32,30,2476,27.5,3,3,6,3,0,0,7,1,4.8,4.8,3.4,8.2,78,206,121,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.3,0.18,0.3
1291,Luuk de Jong,nl NED,FW,Barcelona,es La Liga,30,1990,21,6,654,7.3,6,0,6,6,0,0,1,0,4.6,4.6,0.2,4.8,4,9,48,0.83,0,0.83,0.83,0.83,0.63,0.03,0.67,0.63,0.67
1292,Joan Jordán,es ESP,MF,Sevilla,es La Liga,27,1994,36,31,2514,27.9,0,1,1,0,0,0,9,0,0.8,0.8,1.6,2.5,17,170,64,0,0.04,0.04,0,0.04,0.03,0.06,0.09,0.03,0.09
1293,Kaio Jorge,br BRA,MFFW,Juventus,it Serie A,19,2002,9,0,121,1.3,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,2,1,12,0,0,0,0,0,0.55,0.1,0.65,0.55,0.65
1294,Jorginho,it ITA,MF,Chelsea,eng Premier League,29,1991,29,26,2273,25.3,6,2,8,0,6,7,5,0,5.8,0.3,2.7,3,18,178,19,0.24,0.08,0.32,0,0.08,0.23,0.11,0.34,0.01,0.12
1295,Josan,es ESP,DFMF,Elche,es La Liga,31,1989,31,10,1211,13.5,2,3,5,2,0,0,2,0,1,1,3.2,4.3,42,38,82,0.15,0.22,0.37,0.15,0.37,0.08,0.24,0.32,0.08,0.32
1296,Willian José,br BRA,FW,Betis,es La Liga,29,1991,32,19,1604,17.8,8,4,12,5,3,3,2,0,6.1,3.7,3,6.7,18,38,100,0.45,0.22,0.67,0.28,0.5,0.34,0.17,0.51,0.21,0.37
1297,Joselu,es ESP,FW,Alavés,es La Liga,31,1990,37,35,3122,34.7,14,4,18,8,6,7,0,0,12.9,7.4,4.5,11.9,27,108,137,0.4,0.12,0.52,0.23,0.35,0.37,0.13,0.5,0.21,0.34
1298,Josema,es ESP,DF,Elche,es La Liga,25,1996,6,1,183,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,2,0,0,0,0,0,0,0,0.05,0.05,0,0.05
1299,Lenny Joseph,fr FRA,FWMF,Metz,fr Ligue 1,20,2000,8,0,153,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0.01,0.01,0,0.01
1300,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,24,1996,35,27,2364,26.3,15,4,19,15,0,0,3,0,16.3,16.3,5.8,22,74,87,191,0.57,0.15,0.72,0.57,0.72,0.62,0.22,0.84,0.62,0.84
1301,Stevan Jovetić,me MNE,FWMF,Hertha BSC,de Bundesliga,31,1989,18,13,1017,11.3,6,1,7,6,0,0,3,0,4.4,4.4,1.6,5.9,28,47,70,0.53,0.09,0.62,0.53,0.62,0.39,0.14,0.52,0.39,0.52
1302,Luka Jović,rs SRB,FW,Real Madrid,es La Liga,23,1997,15,1,369,4.1,1,3,4,1,0,0,1,0,2.3,2.3,0.8,3.1,4,7,17,0.24,0.73,0.98,0.24,0.98,0.56,0.2,0.76,0.56,0.76
1303,Miguel Juan Llambrich,es ESP,DF,Espanyol,es La Liga,25,1996,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0
1304,José Juan Macías,mx MEX,FWMF,Getafe,es La Liga,21,1999,7,2,201,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,5,19,0,0,0,0,0,0.06,0,0.06,0.06,0.06
1305,Juanmi,es ESP,FW,Betis,es La Liga,28,1993,33,26,2131,23.7,16,4,20,16,0,0,5,0,11.1,11.1,2.9,14,26,38,107,0.68,0.17,0.84,0.68,0.84,0.47,0.12,0.59,0.47,0.59
1306,Gideon Jung,de GER,DF,Greuther Fürth,de Bundesliga,26,1994,5,1,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
1307,Flavio Junior Bianchi,it ITA,FWMF,Genoa,it Serie A,21,2000,7,4,314,3.5,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,2,3,18,0.29,0,0.29,0.29,0.29,0.23,0.03,0.26,0.23,0.26
1308,Lago Junior,ci CIV,FWMF,Mallorca,es La Liga,30,1990,6,1,177,2,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,13,3,17,0,0,0,0,0,0.28,0,0.28,0.28,0.28
1309,Hamed Junior Traorè,ci CIV,FWMF,Sassuolo,it Serie A,21,2000,31,21,1775,19.7,7,2,9,7,0,0,3,0,5.7,5.7,3.5,9.3,90,110,134,0.35,0.1,0.46,0.35,0.46,0.29,0.18,0.47,0.29,0.47
1310,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,21,2000,35,30,2690,29.9,17,10,27,17,0,0,6,0,12.3,12.3,8,20.3,225,123,485,0.57,0.33,0.9,0.57,0.9,0.41,0.27,0.68,0.41,0.68
1311,James Justin,eng ENG,DF,Leicester City,eng Premier League,23,1998,13,11,998,11.1,0,0,0,0,0,0,0,0,0.3,0.3,1,1.3,23,44,52,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12
1312,Jutglà,es ESP,FW,Barcelona,es La Liga,22,1999,6,4,301,3.3,1,0,1,1,0,0,1,0,1.6,1.6,0.2,1.8,10,4,38,0.3,0,0.3,0.3,0.3,0.48,0.07,0.55,0.48,0.55
1313,Jens Jønsson,dk DEN,MF,Cádiz,es La Liga,28,1993,22,17,1303,14.5,0,1,1,0,0,0,3,0,0.4,0.4,0.9,1.3,4,20,13,0,0.07,0.07,0,0.07,0.03,0.06,0.09,0.03,0.09
1314,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,31,1990,8,6,518,5.8,1,0,1,1,0,0,2,0,0.1,0.1,0.3,0.4,5,18,1,0.17,0,0.17,0.17,0.17,0.02,0.05,0.07,0.02,0.07
1315,Ozan Kabak,tr TUR,DF,Norwich City,eng Premier League,21,2000,11,11,922,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,9,20,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
1316,Christian Kabasele,be BEL,DF,Watford,eng Premier League,30,1991,16,12,1193,13.3,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1,5,21,1,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08
1317,Issa Kaboré,bf BFA,DF,Troyes,fr Ligue 1,20,2001,31,26,2254,25,0,1,1,0,0,0,8,2,0.3,0.3,2.1,2.3,99,67,157,0,0.04,0.04,0,0.04,0.01,0.08,0.09,0.01,0.09
1318,Anton Kade,de GER,FWMF,Hertha BSC,de Bundesliga,17,2004,4,0,77,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,2,1,5,0,0,0,0,0,0.31,0,0.31,0.31,0.31
1319,Pavel Kadeřábek,cz CZE,DFMF,Hoffenheim,de Bundesliga,29,1992,19,14,1195,13.3,1,2,3,1,0,0,5,0,2.3,2.3,2.9,5.3,27,56,104,0.08,0.15,0.23,0.08,0.23,0.18,0.22,0.4,0.18,0.4
1320,Tino Kadewere,zw ZIM,FW,Lyon,fr Ligue 1,25,1996,15,3,506,5.6,1,0,1,1,0,0,0,1,2.5,2.5,1.1,3.6,12,14,48,0.18,0,0.18,0.18,0.18,0.45,0.2,0.64,0.45,0.64
1321,Florian Kainz,at AUT,MFFW,Köln,de Bundesliga,28,1992,32,31,2320,25.8,4,4,8,4,0,0,3,1,3.5,3.5,5.3,8.9,63,145,175,0.16,0.16,0.31,0.16,0.31,0.14,0.21,0.34,0.14,0.34
1322,Gaël Kakuta,cd COD,MFFW,Lens,fr Ligue 1,30,1991,29,20,1673,18.6,3,2,5,2,1,1,1,0,3.5,2.7,2.3,5,30,80,121,0.16,0.11,0.27,0.11,0.22,0.19,0.13,0.31,0.14,0.27
1323,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,24,1997,15,13,1221,13.6,6,1,7,5,1,2,2,0,6.6,5,2.5,7.5,14,26,78,0.44,0.07,0.52,0.37,0.44,0.49,0.18,0.67,0.37,0.55
1324,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,19,2002,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,Arnaud Kalimuendo,fr FRA,FW,Lens,fr Ligue 1,19,2002,32,27,2148,23.9,12,0,12,10,2,2,1,1,8.9,7.3,1.6,8.9,49,30,192,0.5,0,0.5,0.42,0.42,0.37,0.07,0.44,0.31,0.37
1326,Nikola Kalinić,hr CRO,FW,Hellas Verona,it Serie A,33,1988,14,4,406,4.5,4,1,5,4,0,0,5,1,3.2,3.2,0.9,4.1,3,6,49,0.89,0.22,1.11,0.89,1.11,0.72,0.19,0.91,0.72,0.91
1327,Yayah Kallon,sl SLE,FWMF,Genoa,it Serie A,20,2001,15,5,636,7.1,0,1,1,0,0,0,3,0,1.5,1.5,1.6,3,24,5,61,0,0.14,0.14,0,0.14,0.21,0.22,0.43,0.21,0.43
1328,Samuel Kalu,ng NGA,FW,Watford,eng Premier League,23,1997,4,2,222,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,7,8,18,0,0,0,0,0,0.16,0.04,0.2,0.16,0.2
1329,Samuel Kalu,ng NGA,FWMF,Bordeaux,fr Ligue 1,23,1997,11,3,328,3.6,1,1,2,1,0,0,1,0,1.2,1.2,0.2,1.4,16,10,47,0.27,0.27,0.55,0.27,0.55,0.34,0.05,0.39,0.34,0.39
1330,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,21,2000,28,21,1944,21.6,1,2,3,1,0,0,4,0,0.3,0.3,0.6,1,21,78,35,0.05,0.09,0.14,0.05,0.14,0.02,0.03,0.05,0.02,0.05
1331,Daichi Kamada,jp JPN,MF,Eint Frankfurt,de Bundesliga,24,1996,32,23,2139,23.8,4,3,7,4,0,0,0,0,4.6,4.6,2.8,7.3,57,128,142,0.17,0.13,0.29,0.17,0.29,0.19,0.12,0.31,0.19,0.31
1332,Boubacar Kamara,fr FRA,MFDF,Marseille,fr Ligue 1,21,1999,34,31,2778,30.9,1,0,1,1,0,0,5,0,1,1,3,4,25,206,50,0.03,0,0.03,0.03,0.03,0.03,0.1,0.13,0.03,0.13
1333,Hassane Kamara,ci CIV,DF,Watford,eng Premier League,27,1994,19,18,1623,18,1,0,1,1,0,0,5,1,0.2,0.2,0.6,0.8,32,55,25,0.06,0,0.06,0.06,0.06,0.01,0.03,0.04,0.01,0.04
1334,Hassane Kamara,ci CIV,MFDF,Nice,fr Ligue 1,27,1994,11,7,544,6,0,0,0,0,0,0,2,0,1.1,1.1,0.9,1.9,18,12,45,0,0,0,0,0,0.17,0.14,0.32,0.17,0.32
1335,Dimitrije Kamenović,rs SRB,DF,Lazio,it Serie A,21,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0,0,0,0,0,0,0,0,1.32,0,1.32,1.32,1.32
1336,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,30,1990,27,25,1899,21.1,0,1,1,0,0,0,4,0,0.4,0.4,1.9,2.3,39,147,35,0,0.05,0.05,0,0.05,0.02,0.09,0.11,0.02,0.11
1337,Jean-Armel Kana-Biyik,cm CMR,DF,Metz,fr Ligue 1,32,1989,10,8,664,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,10,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
1338,Nordine Kandil,fr FRA,MFFW,Strasbourg,fr Ligue 1,19,2001,5,0,90,1,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,12,0,1,1,0,1,0.09,0.25,0.33,0.09,0.33
1339,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,28,1993,37,36,3232,35.9,17,9,26,13,4,4,5,0,18.6,15.4,9.1,24.5,87,143,212,0.47,0.25,0.72,0.36,0.61,0.52,0.25,0.77,0.43,0.68
1340,Lee Kangin,kr KOR,MFFW,Mallorca,es La Liga,20,2001,30,15,1411,15.7,1,2,3,1,0,0,4,1,1.5,1.5,2.1,3.6,32,48,64,0.06,0.13,0.19,0.06,0.19,0.09,0.13,0.23,0.09,0.23
1341,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,30,1991,26,21,1773,19.7,2,4,6,2,0,0,2,0,1.5,1.5,2.1,3.6,72,159,62,0.1,0.2,0.3,0.1,0.3,0.08,0.11,0.19,0.08,0.19
1342,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,24,1996,24,23,1898,21.1,0,1,1,0,0,0,9,1,0.3,0.3,1.2,1.5,11,82,24,0,0.05,0.05,0,0.05,0.01,0.06,0.07,0.01,0.07
1344,Rick Karsdorp,nl NED,DFFW,Roma,it Serie A,26,1995,36,32,2883,32,0,2,2,0,0,0,9,1,0.1,0.1,4.8,4.9,46,150,210,0,0.06,0.06,0,0.06,0,0.15,0.15,0,0.15
1345,Denso Kasius,nl NED,DFFW,Bologna,it Serie A,18,2002,7,1,180,2,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,6,3,20,0,0,0,0,0,0.07,0.25,0.32,0.07,0.32
1346,Grigoris Kastanos,cy CYP,MFFW,Salernitana,it Serie A,23,1998,27,16,1348,15,1,1,2,1,0,0,4,1,1.2,1.2,1.5,2.7,27,62,54,0.07,0.07,0.13,0.07,0.13,0.08,0.1,0.18,0.08,0.18
1347,Silas Katompa,cd COD,FWMF,Stuttgart,de Bundesliga,22,1998,9,3,277,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,21,0,0,0,0,0,0.01,0,0.01,0.01,0.01
1348,Noah Katterbach,de GER,DF,Köln,de Bundesliga,20,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1349,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,Edo Kayembe,cd COD,MF,Watford,eng Premier League,23,1998,13,9,799,8.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,9,47,8,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05
1351,Moise Kean,it ITA,FW,Everton,eng Premier League,21,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,Moise Kean,it ITA,FW,Juventus,it Serie A,21,2000,32,12,1098,12.2,5,2,7,5,0,0,5,0,4.9,4.9,0.2,5.1,20,10,77,0.41,0.16,0.57,0.41,0.57,0.4,0.02,0.42,0.4,0.42
1353,Michael Keane,eng ENG,DF,Everton,eng Premier League,28,1993,32,31,2792,31,3,2,5,3,0,0,4,1,1.2,1.2,1.6,2.8,9,79,4,0.1,0.06,0.16,0.1,0.16,0.04,0.05,0.09,0.04,0.09
1354,Ilan Kebbal,dz ALG,MFFW,Reims,fr Ligue 1,23,1998,31,21,1772,19.7,1,4,5,1,0,0,1,0,1.4,1.4,2.5,3.9,60,124,135,0.05,0.2,0.25,0.05,0.25,0.07,0.13,0.2,0.07,0.2
1355,Wajdi Kechrida,tn TUN,DFMF,Salernitana,it Serie A,25,1995,17,10,952,10.6,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1,16,29,30,0,0.09,0.09,0,0.09,0.02,0.08,0.1,0.02,0.1
1356,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24,1996,27,16,1513,16.8,2,0,2,2,0,0,0,0,1,1,0,1.1,13,67,39,0.12,0,0.12,0.12,0.12,0.06,0,0.06,0.06,0.06
1357,Habib Keita,ml MLI,MFFW,Lyon,fr Ligue 1,19,2002,3,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,2.07,0,2.07,2.07,2.07
1358,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,26,1995,23,14,1173,13,3,1,4,3,0,0,3,0,2.2,2.2,1.9,4.1,39,75,42,0.23,0.08,0.31,0.23,0.31,0.17,0.14,0.31,0.17,0.31
1359,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,21,2000,12,5,504,5.6,0,0,0,0,0,0,1,0,1,1,0.1,1.1,3,17,3,0,0,0,0,0,0.18,0.02,0.19,0.18,0.19
1360,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,26,1995,12,12,1051,11.7,0,1,1,0,0,0,1,1,0.7,0.7,0.5,1.2,9,35,2,0,0.09,0.09,0,0.09,0.06,0.04,0.1,0.06,0.1
1362,Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,26,1995,12,10,840,9.3,3,0,3,3,0,0,2,0,1.1,1.1,0.6,1.7,11,56,6,0.32,0,0.32,0.32,0.32,0.11,0.07,0.18,0.11,0.18
