Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls p90,Ast p90,G+A p90,G-PK p90,G+A-PK p90,xG p90,xAG p90,xG+xAG p90,npxG p90,npxG+xAG p90
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,17,6,668,7.4,2,0,2,2,0,0,5,1,1.7,1.7,0.6,2.2,19,7,77,0.27,0,0.27,0.27,0.27,0.22,0.08,0.3,0.22,0.3
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,24,17,1616,18,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15,57,40,0,0.06,0.06,0,0.06,0.01,0.04,0.05,0.01,0.05
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,27,21,1868,20.8,0,0,0,0,0,0,6,0,1.2,1.1,0.7,1.7,16,116,28,0,0,0,0,0,0.06,0.03,0.09,0.05,0.08
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,23,12,1237,13.7,3,1,4,3,0,0,2,1,2.6,2.6,0.9,3.5,41,46,56,0.22,0.07,0.29,0.22,0.29,0.19,0.06,0.25,0.19,0.25
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,31,31,2735,30.4,2,2,4,2,0,0,3,1,2.1,2.1,0.3,2.4,11,101,1,0.07,0.07,0.13,0.07,0.13,0.07,0.01,0.08,0.07,0.08
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,1,1,0.1,1.1,4,3,13,0.6,0,0.6,0.6,0.6,0.61,0.07,0.68,0.61,0.68
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,28,22,2140,23.8,0,2,2,0,0,0,4,0,0.3,0.3,0.9,1.2,61,157,101,0,0.08,0.08,0,0.08,0.01,0.04,0.05,0.01,0.05
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,15,1350,15,0,1,1,0,0,0,6,0,0.4,0.4,0.9,1.3,18,63,12,0,0.07,0.07,0,0.07,0.03,0.06,0.09,0.03,0.09
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,25,11,1004,11.2,1,1,2,1,0,0,2,0,1.9,1.9,0.8,2.7,16,38,39,0.09,0.09,0.18,0.09,0.18,0.17,0.08,0.24,0.17,0.24
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,25,110,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,21,17,1437,16,0,0,0,0,0,0,4,0,0.2,0.2,1.8,2,42,68,78,0,0,0,0,0,0.01,0.11,0.12,0.01,0.12
35,Rayan Aït Nouri,dz ALG,DFMF,Wolves,eng Premier League,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2,60,49,127,0.05,0.1,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,36,31,2738,30.4,12,8,20,9,3,3,5,1,10.6,8.3,7,15.3,21,69,217,0.39,0.26,0.66,0.3,0.56,0.35,0.23,0.58,0.27,0.5
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,26,25,2261,25.1,1,0,1,1,0,0,3,0,1.9,1.9,0.1,2,18,115,8,0.04,0,0.04,0.04,0.04,0.08,0,0.08,0.08,0.08
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35,51,52,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
40,Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20,2001,4,0,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8,0.2,0,0.2,0.2,0.2,0.07,0.06,0.12,0.07,0.12
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0,0,0,0,0,0.11,0.43,0.54,0.11,0.54
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,7,0,54,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,2,5,7,0,0,0,0,0,0.24,0.06,0.3,0.24,0.3
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0,0,0.1,0.1,3,30,5,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,10,4,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,5,3,8,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
46,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,de Bundesliga,26,1995,26,19,1527,17,2,2,4,2,0,0,5,0,1.2,1.2,2.6,3.8,36,87,40,0.12,0.12,0.24,0.12,0.24,0.07,0.15,0.22,0.07,0.22
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,1.6,1.6,2.2,3.8,40,154,76,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,4,0,158,1.8,0,0,0,0,0,0,1,0,0,0,0,0,3,5,10,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.2,6,55,13,0,0.06,0.06,0,0.06,0.07,0.07,0.14,0.07,0.14
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,6,5.2,1,6.2,6,10,44,0.82,0,0.82,0.82,0.82,0.82,0.14,0.96,0.71,0.85
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.13,0,0.13,0.13,0.13
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,34,27,2353,26.1,5,9,14,5,0,0,5,0,3.3,3.3,7.8,11.1,84,223,89,0.19,0.34,0.54,0.19,0.54,0.12,0.3,0.42,0.12,0.42
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,11,90,0,0,0,0,0,0,0.01,0,0.02,0.01,0.02
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2,2.5,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.2,0.04,0.2
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,3.9,3.9,1.6,5.5,4,10,45,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63
