Rk,Tkl-Tack,TklW-Tack,Def3rd-Tack,Mid3rd-Tack,Att3rd-Tack,Tkl-Chal,Att-Chal,Tkl%-Chal,Lost-Chal,Blocks-Bloc,Sh-Tack-Bloc,Pass-Tack-Bloc,Int,Tkl+Int,Clr,Err
1942,1,0,0,1,0,0,0,,0,2,1,1,2,3,8,0
1943,23,10,10,11,2,9,35,25.7,26,23,2,21,15,38,15,0
1944,3,1,1,1,1,0,2,0,2,2,0,2,7,10,6,0
1945,12,5,5,5,2,5,19,26.3,14,9,1,8,4,16,10,0
1946,8,2,7,1,0,5,11,45.5,6,4,1,3,4,12,2,1
1947,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1948,25,15,14,7,4,13,47,27.7,34,20,1,19,9,34,5,0
1949,21,11,8,8,5,8,22,36.4,14,19,0,19,6,27,8,0
1950,7,6,2,4,1,4,4,100,0,2,1,1,10,17,11,0
1951,34,21,19,14,1,17,46,37,29,17,8,9,19,53,43,1
1952,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0
1953,4,4,2,0,2,2,7,28.6,5,2,0,2,1,5,0,0
1954,1,1,1,0,0,0,1,0,1,1,0,1,0,1,2,0
1955,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
1956,24,13,9,11,4,8,19,42.1,11,21,1,20,8,32,12,0
1957,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,1
1958,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1959,4,4,2,2,0,3,6,50,3,9,8,1,8,12,26,2
1960,16,11,9,7,0,10,14,71.4,4,8,5,3,14,30,21,0
1961,38,24,24,13,1,15,34,44.1,19,42,31,11,22,60,101,0
1962,5,5,0,4,1,4,10,40,6,8,3,5,3,8,10,0
1963,35,21,24,9,2,20,27,74.1,7,25,16,9,25,60,90,1
1964,3,1,2,1,0,2,2,100,0,2,1,1,2,5,7,0
1965,2,2,0,0,2,1,6,16.7,5,8,0,8,0,2,13,0
1966,109,60,42,58,9,52,101,51.5,49,48,9,39,64,173,58,1
1967,8,5,6,2,0,5,6,83.3,1,6,4,2,4,12,11,0
1968,23,14,5,14,4,5,12,41.7,7,17,6,11,10,33,7,0
1969,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,4
1970,45,24,23,18,4,23,55,41.8,32,35,1,34,9,54,24,1
1971,24,15,15,7,2,10,13,76.9,3,10,2,8,12,36,21,0
1972,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1973,25,15,12,6,7,15,32,46.9,17,17,6,11,8,33,25,2
1974,7,4,5,2,0,3,7,42.9,4,5,4,1,11,18,29,0
1975,31,17,18,12,1,17,31,54.8,14,41,27,14,37,68,89,0
1976,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
1977,16,10,4,9,3,3,20,15,17,19,3,16,10,26,20,0
1978,46,25,18,22,6,12,37,32.4,25,29,1,28,20,66,13,0
1979,5,3,3,1,1,1,1,100,0,5,1,4,4,9,6,0
1980,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
1982,22,18,8,11,3,7,24,29.2,17,17,0,17,6,28,6,0
1983,2,2,2,0,0,1,4,25,3,0,0,0,0,2,0,0
1984,33,20,22,9,2,12,23,52.2,11,17,7,10,28,61,63,0
1985,27,14,11,14,2,15,30,50,15,13,0,13,10,37,7,0
1986,79,47,39,34,6,40,69,58,29,45,4,41,55,134,67,1
1987,14,6,5,7,2,5,18,27.8,13,5,1,4,4,18,1,0
1988,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1989,33,17,22,10,1,15,23,65.2,8,20,13,7,31,64,94,5
1990,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,12,3
1991,8,6,5,3,0,5,11,45.5,6,8,8,0,5,13,13,0
1992,48,31,17,27,4,18,25,72,7,10,3,7,30,78,19,0
1993,70,49,33,33,4,35,86,40.7,51,37,5,32,36,106,23,1
1994,18,10,4,6,8,7,22,31.8,15,27,2,25,7,25,8,0
