Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.p90,Ast.p90,G+A.p90,G-PK.p90,G+A-PK.p90,xG.p90,xAG.p90,xG+xAG.p90,npxG.p90,npxG+xAG.p90
1246,Jefferson,br BRA,FW,Lyon,fr Ligue 1,23-105,1999,2,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0
1247,Fredrik Jensen,fi FIN,FWMF,Augsburg,de Bundesliga,25-217,1997,19,8,871,9.7,2,1,3,2,0,0,1,0,1.8,1.8,1.4,3.2,3,23,49,0.21,0.1,0.31,0.21,0.31,0.18,0.14,0.33,0.18,0.33
1248,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,27-103,1996,30,30,2302,25.6,5,5,10,5,0,0,3,0,2,2,3.5,5.4,21,110,63,0.2,0.2,0.39,0.2,0.39,0.08,0.13,0.21,0.08,0.21
1249,Moritz Jenz,de GER,DF,Schalke 04,de Bundesliga,23-349,1999,8,8,720,8,0,0,0,0,0,0,3,0,0.9,0.9,0,1,6,15,1,0,0,0,0,0,0.12,0,0.12,0.12,0.12
1250,Jesé,es ESP,FWDF,Sampdoria,it Serie A,30-047,1993,7,1,121,1.3,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,1,8,0,0.74,0.74,0,0.74,0.04,0.34,0.37,0.04,0.37
1251,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,26-011,1997,18,16,1397,15.5,8,5,13,7,1,1,4,0,11,10.2,2.9,13.1,31,42,132,0.52,0.32,0.84,0.45,0.77,0.71,0.19,0.89,0.65,0.84
1252,Juan Jesus,br BRA,DF,Napoli,it Serie A,31-308,1991,9,7,624,6.9,1,0,1,1,0,0,2,0,0.2,0.2,0,0.2,4,31,1,0.14,0,0.14,0.14,0.14,0.03,0.01,0.03,0.03,0.03
1253,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,31-344,1991,13,7,743,8.3,0,1,1,0,0,0,0,0,2.6,2.6,1.7,4.3,5,13,44,0,0.12,0.12,0,0.12,0.31,0.21,0.52,0.31,0.52
1254,Joaquín,es ESP,FWMF,Betis,es La Liga,41-267,1981,14,1,334,3.7,0,1,1,0,0,0,2,0,0.5,0.5,1.4,1.9,17,20,27,0,0.27,0.27,0,0.27,0.13,0.38,0.51,0.13,0.51
1255,Joelinton,br BRA,MFFW,Newcastle Utd,eng Premier League,26-243,1996,25,23,2053,22.8,4,1,5,4,0,0,11,0,5.1,5.1,1.9,6.9,46,97,118,0.18,0.04,0.22,0.18,0.22,0.22,0.08,0.3,0.22,0.3
1256,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,22-198,2000,11,2,213,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,3,0,0,0,0,0,0.02,0.15,0.17,0.02,0.17
1257,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,23-080,2000,13,8,744,8.3,0,0,0,0,0,0,0,0,0,0,0.2,0.3,12,36,17,0,0,0,0,0,0,0.03,0.03,0,0.03
1258,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,eng Premier League,21-326,2001,30,28,2487,27.6,8,2,10,7,1,2,6,0,7.3,5.7,2.9,8.6,80,30,140,0.29,0.07,0.36,0.25,0.33,0.26,0.1,0.37,0.21,0.31
1259,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,30-020,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,Paul Joly,fr FRA,DF,Auxerre,fr Ligue 1,22-311,2000,10,10,867,9.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.5,19,41,48,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05
1261,Curtis Jones,eng ENG,MFFW,Liverpool,eng Premier League,22-074,2001,9,3,332,3.7,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,10,26,22,0,0,0,0,0,0.05,0.06,0.11,0.05,0.11
1262,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,25-337,1997,24,20,1781,19.8,2,1,3,2,0,0,2,0,1.8,1.8,2.3,4.2,60,165,61,0.1,0.05,0.15,0.1,0.15,0.09,0.12,0.21,0.09,0.21
1263,Joan Jordán,es ESP,MF,Sevilla,es La Liga,28-282,1994,21,18,1496,16.6,0,1,1,0,0,0,6,0,0.9,0.9,0.5,1.4,9,117,22,0,0.06,0.06,0,0.06,0.06,0.03,0.09,0.06,0.09
1264,Filip Jörgensen,dk DEN,GK,Villarreal,es La Liga,20-363,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,Jorginho,it ITA,MF,Arsenal,eng Premier League,31-115,1991,7,4,386,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,7,53,6,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
1266,Jorginho,it ITA,MF,Chelsea,eng Premier League,31-115,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,1.7,0.1,0.4,0.5,13,80,10,0.14,0,0.14,0,0,0.12,0.03,0.14,0.01,0.03
1267,Josan,es ESP,MFDF,Elche,es La Liga,33-132,1989,17,3,473,5.3,1,0,1,1,0,0,3,0,0.3,0.3,0.4,0.7,12,11,34,0.19,0,0.19,0.19,0.19,0.06,0.07,0.14,0.06,0.14
1268,Willian José,br BRA,FW,Betis,es La Liga,31-142,1991,21,2,402,4.5,1,0,1,0,1,1,1,0,2.4,1.6,0.1,1.8,5,11,18,0.22,0,0.22,0,0,0.54,0.03,0.56,0.37,0.4
1269,Joselu,es ESP,FW,Espanyol,es La Liga,33-018,1990,25,24,2180,24.2,12,2,14,9,3,3,2,0,9,6.6,2.2,8.8,17,52,99,0.5,0.08,0.58,0.37,0.45,0.37,0.09,0.46,0.27,0.36
1270,Mateo Joseph,eng ENG,FWMF,Leeds United,eng Premier League,19-177,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2,0,0,0,0,0,0.4,0,0.4,0.4,0.4
1271,Diogo Jota,pt POR,FWMF,Liverpool,eng Premier League,26-131,1996,13,7,669,7.4,0,3,3,0,0,0,1,0,2.1,2.1,2,4.1,21,22,52,0,0.4,0.4,0,0.4,0.28,0.26,0.55,0.28,0.55
1272,Stevan Jovetić,me MNE,FWMF,Hertha BSC,de Bundesliga,33-163,1989,13,4,532,5.9,2,2,4,2,0,0,0,0,1.6,1.6,0.9,2.5,8,27,27,0.34,0.34,0.68,0.34,0.68,0.27,0.15,0.42,0.27,0.42
1273,Luka Jović,rs SRB,FW,Fiorentina,it Serie A,25-112,1997,25,13,1174,13,4,0,4,4,0,1,2,0,5.4,4.6,0.6,5.2,4,18,52,0.31,0,0.31,0.31,0.31,0.41,0.05,0.46,0.35,0.4
1274,Juanmi,es ESP,FW,Betis,es La Liga,29-329,1993,16,8,772,8.6,4,0,4,4,0,0,3,0,3.2,3.2,0.9,4,10,13,33,0.47,0,0.47,0.47,0.47,0.37,0.1,0.47,0.37,0.47
1275,Juanpe,es ESP,DF,Girona,es La Liga,31-349,1991,12,11,930,10.3,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.3,4,28,2,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03
1276,Jubal,br BRA,DF,Auxerre,fr Ligue 1,29-228,1993,29,27,2497,27.7,2,1,3,2,0,0,4,0,1.5,1.5,0.4,1.9,6,59,0,0.07,0.04,0.11,0.07,0.11,0.05,0.01,0.07,0.05,0.07
1277,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,30-023,1993,24,24,2155,23.9,0,1,1,0,0,0,3,0,1.8,1.8,0.7,2.5,2,44,5,0,0.04,0.04,0,0.04,0.08,0.03,0.1,0.08,0.1
1278,Anthony Jung,de GER,DFFW,Werder Bremen,de Bundesliga,31-162,1991,27,26,2102,23.4,2,4,6,2,0,0,1,0,1.3,1.3,1.2,2.5,20,57,89,0.09,0.17,0.26,0.09,0.26,0.05,0.05,0.11,0.05,0.11
1279,Lago Junior,ci CIV,FWMF,Mallorca,es La Liga,32-104,1990,5,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03
1280,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,eng Premier League,23-057,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,0.9,0.9,1.1,2.1,19,26,21,0,0,0,0,0,0.19,0.24,0.43,0.19,0.43
1281,Hamed Junior Traorè,ci CIV,MFFW,Sassuolo,it Serie A,23-057,2000,11,6,591,6.6,0,3,3,0,0,0,1,0,1,1,1.8,2.7,14,26,36,0,0.46,0.46,0,0.46,0.15,0.27,0.41,0.15,0.41
1282,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,22-276,2000,27,27,2363,26.3,9,6,15,9,0,0,8,0,9.7,9.7,7.2,16.9,185,72,409,0.34,0.23,0.57,0.34,0.57,0.37,0.27,0.64,0.37,0.64
1283,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,27-241,1995,6,6,540,6,1,1,2,0,1,1,0,0,1.4,0.6,0.3,1,7,18,19,0.17,0.17,0.33,0,0.17,0.24,0.05,0.29,0.11,0.16
1284,James Justin,eng ENG,DF,Leicester City,eng Premier League,25-050,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,20,47,50,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05
1285,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,32-356,1990,14,8,820,9.1,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,1,26,1,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
1286,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,23-020,2000,24,22,1910,21.2,2,2,4,2,0,0,12,2,1.2,1.2,1.3,2.6,17,62,13,0.09,0.09,0.19,0.09,0.19,0.06,0.06,0.12,0.06,0.12
1287,Issa Kaboré,bf BFA,DF,Marseille,fr Ligue 1,21-337,2001,15,5,628,7,1,0,1,1,0,0,1,0,0.7,0.7,0.5,1.1,23,38,86,0.14,0,0.14,0.14,0.14,0.09,0.07,0.16,0.09,0.16
1288,Abdoul Kader Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,28-324,1994,4,1,78,0.9,0,0,0,0,0,0,0,1,0.1,0.1,0,0.1,1,3,12,0,0,0,0,0,0.11,0.04,0.15,0.11,0.15
1289,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,30-354,1992,23,14,1417,15.7,1,1,2,1,0,0,1,0,1,1,1.4,2.4,24,52,97,0.06,0.06,0.13,0.06,0.13,0.06,0.09,0.15,0.06,0.15
1290,Tino Kadewere,zw ZIM,FWMF,Mallorca,es La Liga,27-099,1996,11,4,428,4.8,1,0,1,1,0,0,0,0,1.3,1.3,0.6,1.9,10,1,21,0.21,0,0.21,0.21,0.21,0.28,0.13,0.41,0.28,0.41
1291,Kaiky,br BRA,DF,Almería,es La Liga,19-092,2004,11,6,488,5.4,0,0,0,0,0,0,5,0,0.1,0.1,0,0.1,6,10,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
1292,Florian Kainz,at AUT,FWMF,Köln,de Bundesliga,30-172,1992,25,24,1821,20.2,5,6,11,3,2,2,5,1,4.4,2.9,6,8.9,51,126,123,0.25,0.3,0.54,0.15,0.44,0.22,0.3,0.52,0.14,0.44
1293,Gaël Kakuta,cd COD,FW,Lens,fr Ligue 1,31-297,1991,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0.19,0,0.19,0.19,0.19
1294,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,25-281,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,1,0,0,0,0,0,0.53,0,0.53,0.53,0.53
1295,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,25-281,1997,3,3,233,2.6,0,3,3,0,0,0,1,0,0.5,0.5,0.6,1.1,0,4,13,0,1.16,1.16,0,1.16,0.19,0.24,0.44,0.19,0.44
1296,Arnaud Kalimuendo,fr FRA,FW,Rennes,fr Ligue 1,21-084,2002,23,20,1526,17,7,3,10,7,0,0,0,0,5.9,5.9,2.2,8.2,33,27,162,0.41,0.18,0.59,0.41,0.59,0.35,0.13,0.48,0.35,0.48
1297,Yayah Kallon,sl SLE,MFFW,Hellas Verona,it Serie A,21-288,2001,21,7,801,8.9,1,1,2,1,0,0,1,0,1.6,1.6,1.4,3.1,32,21,61,0.11,0.11,0.22,0.11,0.22,0.18,0.16,0.34,0.18,0.34
1298,Gedeon Kalulu,cd COD,DF,Lorient,fr Ligue 1,25-228,1997,22,22,1980,22,0,3,3,0,0,0,4,0,0.5,0.5,1.3,1.8,54,97,60,0,0.14,0.14,0,0.14,0.02,0.06,0.08,0.02,0.08
1299,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,22-313,2000,27,22,2120,23.6,1,0,1,1,0,0,4,0,1.4,1.4,1.2,2.6,40,112,31,0.04,0,0.04,0.04,0.04,0.06,0.05,0.11,0.06,0.11
1300,Justin-Noël Kalumba,fr FRA,DF,Angers,fr Ligue 1,18-110,2004,2,2,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,3,3,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08
1301,Daichi Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,26-252,1996,25,19,1701,18.9,7,4,11,5,2,2,2,0,7,5.5,2.2,7.6,33,109,76,0.37,0.21,0.58,0.26,0.48,0.37,0.11,0.49,0.29,0.4
1302,Waren Kamanzi,no NOR,DF,Toulouse,fr Ligue 1,22-154,2000,5,3,271,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,8,5,0,0,0,0,0,0,0.03,0.03,0,0.03
1303,Bingourou Kamara,sn SEN,GK,Montpellier,fr Ligue 1,26-175,1996,5,4,408,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,23-142,1999,20,19,1569,17.4,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1,14,80,8,0,0.06,0.06,0,0.06,0.01,0.05,0.06,0.01,0.06
1305,Jakub Kamiński,pl POL,FWMF,Wolfsburg,de Bundesliga,20-313,2002,24,18,1502,16.7,1,2,3,1,0,0,0,0,3,2.8,2.8,5.7,33,62,134,0.06,0.12,0.18,0.06,0.18,0.18,0.17,0.35,0.17,0.34
1306,Marcin Kamiński,pl POL,DF,Schalke 04,de Bundesliga,31-089,1992,2,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,32-187,1990,23,13,1034,11.5,0,1,1,0,0,0,7,0,0.1,0.1,0.6,0.7,15,62,10,0,0.09,0.09,0,0.09,0.01,0.05,0.06,0.01,0.06
1308,Nordine Kandil,fr FRA,MFFW,Strasbourg,fr Ligue 1,21-165,2001,7,0,101,1.1,0,1,1,0,0,0,0,0,0.2,0.2,0.8,0.9,9,6,9,0,0.89,0.89,0,0.89,0.14,0.7,0.84,0.14,0.84
1309,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,29-260,1993,30,30,2685,29.8,23,2,25,19,4,5,5,0,17.1,13.2,4.7,17.9,48,141,166,0.77,0.07,0.84,0.64,0.7,0.57,0.16,0.73,0.44,0.6
1310,Wilfried Kanga,ci CIV,FW,Hertha BSC,de Bundesliga,25-052,1998,21,15,1352,15,2,0,2,2,0,0,3,0,3.2,3.2,1.5,4.7,10,11,71,0.13,0,0.13,0.13,0.13,0.21,0.1,0.31,0.21,0.31
1311,Lee Kangin,kr KOR,MFFW,Mallorca,es La Liga,22-054,2001,27,25,2109,23.4,3,4,7,3,0,0,7,0,3.4,3.4,3.4,6.8,67,72,103,0.13,0.17,0.3,0.13,0.3,0.15,0.14,0.29,0.15,0.29
1312,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,32-016,1991,4,3,276,3.1,0,0,0,0,0,0,0,0,0.2,0.2,1.2,1.4,12,19,13,0,0,0,0,0,0.07,0.39,0.46,0.07,0.46
1313,Kenan Karaman,tr TUR,FW,Schalke 04,de Bundesliga,29-040,1994,14,5,499,5.5,1,0,1,1,0,0,2,0,1.7,1.7,0.1,1.8,10,11,29,0.18,0,0.18,0.18,0.18,0.3,0.03,0.33,0.3,0.33
1314,Yann Karamoh,fr FRA,MFFW,Torino,it Serie A,24-280,1998,13,4,438,4.9,3,0,3,3,0,0,1,0,2.6,2.6,0.2,2.8,14,5,51,0.62,0,0.62,0.62,0.62,0.53,0.05,0.58,0.53,0.58
1315,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,26-183,1996,23,16,1435,15.9,0,1,1,0,0,0,9,0,0.2,0.2,0.6,0.8,4,53,6,0,0.06,0.06,0,0.06,0.01,0.04,0.05,0.01,0.05
1316,Jon Karrikaburu,es ESP,FW,Real Sociedad,es La Liga,20-207,2002,6,0,93,1,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,2,4,2,0,0,0,0,0,0.28,0.31,0.6,0.28,0.6
1317,Rick Karsdorp,nl NED,DF,Roma,it Serie A,28-062,1995,13,8,711,7.9,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.5,16,24,33,0,0,0,0,0,0.03,0.15,0.19,0.03,0.19
1318,Denso Kasius,nl NED,DF,Bologna,it Serie A,20-190,2002,7,4,342,3.8,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.8,9,9,21,0,0.53,0.53,0,0.53,0.03,0.18,0.21,0.03,0.21
1319,Thomas Kastanaras,gr GRE,FWDF,Stuttgart,de Bundesliga,20-095,2003,4,1,72,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,1,2,6,0,0,0,0,0,0.32,0.08,0.4,0.32,0.4
1320,Grigoris Kastanos,cy CYP,MFDF,Salernitana,it Serie A,25-074,1998,19,7,678,7.5,1,0,1,1,0,0,3,0,0.9,0.9,0.4,1.3,15,24,37,0.13,0,0.13,0.13,0.13,0.12,0.06,0.18,0.12,0.18
1321,Silas Katompa,cd COD,FWDF,Stuttgart,de Bundesliga,24-190,1998,23,19,1576,17.5,4,2,6,3,1,1,3,0,5.7,5,1.2,6.2,55,30,119,0.23,0.11,0.34,0.17,0.29,0.33,0.07,0.4,0.28,0.35
1322,Moise Kean,it ITA,FW,Juventus,it Serie A,23-045,2000,24,10,871,9.7,6,0,6,6,0,0,5,1,6,6,1.1,7.2,24,11,66,0.62,0,0.62,0.62,0.62,0.62,0.12,0.74,0.62,0.74
1323,Michael Keane,eng ENG,DF,Everton,eng Premier League,30-093,1993,7,6,563,6.3,1,1,2,1,0,0,0,0,0.9,0.9,0.3,1.2,0,11,1,0.16,0.16,0.32,0.16,0.32,0.15,0.04,0.19,0.15,0.19
1324,Neeskens Kebano,cd COD,FW,Fulham,eng Premier League,31-035,1992,12,9,713,7.9,0,3,3,0,0,0,0,0,0.5,0.5,1.4,1.8,37,21,63,0,0.38,0.38,0,0.38,0.06,0.17,0.23,0.06,0.23
1325,Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,19-078,2004,10,3,304,3.4,0,0,0,0,0,0,1,0,0,0,0.2,0.2,5,5,16,0,0,0,0,0,0.01,0.05,0.07,0.01,0.07
1326,Thilo Kehrer,de GER,DF,West Ham,eng Premier League,26-205,1996,21,21,1817,20.2,0,1,1,0,0,0,4,0,0.4,0.4,0.4,0.8,15,49,28,0,0.05,0.05,0,0.05,0.02,0.02,0.04,0.02,0.04
1327,Check Keita,fr FRA,DF,Reims,fr Ligue 1,20-012,2003,7,6,530,5.9,0,0,0,0,0,0,1,0,0,0,0,0.1,7,17,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
1328,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,28-063,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.4,5,15,21,0,0,0,0,0,0.2,0.22,0.41,0.2,0.41
1329,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,23-058,2000,18,5,447,5,0,2,2,0,0,0,3,0,0,0,0.1,0.1,9,20,12,0,0.4,0.4,0,0.4,0,0.02,0.02,0,0.02
1330,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,24-190,1998,15,15,1350,15,0,2,2,0,0,0,3,0,0.2,0.2,0.2,0.4,7,30,1,0,0.13,0.13,0,0.13,0.01,0.01,0.03,0.01,0.03
1331,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,28-076,1995,26,26,2274,25.3,0,0,0,0,0,0,4,0,1,1,0.2,1.2,10,70,1,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
1332,Kenedy,br BRA,FWMF,Valladolid,es La Liga,27-065,1996,5,1,94,1,0,1,1,0,0,0,1,0,0,0,0.4,0.4,1,0,4,0,0.96,0.96,0,0.96,0.02,0.36,0.37,0.02,0.37
1333,Jonjoe Kenny,eng ENG,DF,Hertha BSC,de Bundesliga,26-030,1997,24,20,1794,19.9,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.3,25,78,50,0,0.05,0.05,0,0.05,0.01,0.1,0.12,0.01,0.12
1334,Franck Kessié,ci CIV,MF,Barcelona,es La Liga,26-116,1996,20,4,670,7.4,1,1,2,1,0,0,4,0,1.2,1.2,0.6,1.8,12,23,25,0.13,0.13,0.27,0.13,0.27,0.16,0.08,0.24,0.16,0.24
1335,Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,fr Ligue 1,27-352,1995,27,20,1745,19.4,4,3,7,4,0,0,4,0,3.2,3.2,3.6,6.8,20,65,72,0.21,0.15,0.36,0.21,0.36,0.16,0.19,0.35,0.16,0.35
1336,Wahbi Khazri,tn TUN,FWMF,Montpellier,fr Ligue 1,32-065,1991,22,15,1309,14.5,4,1,5,4,0,0,4,1,3.5,3.5,0.9,4.4,33,36,78,0.28,0.07,0.34,0.28,0.34,0.24,0.06,0.31,0.24,0.31
1337,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,29-077,1994,26,26,2252,25,1,0,1,1,0,0,7,0,1.5,1.5,0.4,1.9,10,57,18,0.04,0,0.04,0.04,0.04,0.06,0.01,0.08,0.06,0.08
1338,Anthony Khelifa,fr FRA,DF,Ajaccio,fr Ligue 1,17-206,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1339,Kike,es ESP,FW,Osasuna,es La Liga,33-140,1989,28,5,782,8.7,2,0,2,1,1,1,3,0,3.5,2.7,0.9,3.6,13,14,45,0.23,0,0.23,0.12,0.12,0.4,0.1,0.51,0.31,0.41
1340,Luca Kilian,de GER,DF,Köln,de Bundesliga,23-225,1999,14,13,1100,12.2,1,0,1,1,0,0,5,2,1.1,1.1,0.1,1.2,12,48,2,0.08,0,0.08,0.08,0.08,0.09,0.01,0.1,0.09,0.1
1341,Max Kilman,eng ENG,DF,Wolves,eng Premier League,25-326,1997,30,30,2700,30,0,0,0,0,0,0,3,0,1,1,0.1,1.1,27,114,4,0,0,0,0,0,0.03,0,0.04,0.03,0.04
1342,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,28-065,1995,26,25,2216,24.6,4,4,8,4,0,0,6,1,1.4,1.4,4.7,6.1,33,247,45,0.16,0.16,0.32,0.16,0.32,0.06,0.19,0.25,0.06,0.25
1343,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,27-244,1995,11,9,730,8.1,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.8,4,40,4,0,0,0,0,0,0.08,0.02,0.1,0.08,0.1
1344,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,23-058,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,Jakub Kiwior,pl POL,DF,Spezia,it Serie A,23-058,2000,17,17,1443,16,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.8,13,37,6,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
1346,Simon Kjær,dk DEN,DF,Milan,it Serie A,34-019,1989,12,9,758,8.4,0,0,0,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
1347,Mateusz Klich,pl POL,MFFW,Leeds United,eng Premier League,32-305,1990,14,0,280,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,5,16,21,0,0,0,0,0,0.05,0.06,0.12,0.05,0.12
1348,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,26-315,1996,8,4,402,4.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,15,6,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09
1349,Justin Kluivert,nl NED,FWMF,Valencia,es La Liga,23-344,1999,21,11,1089,12.1,5,0,5,4,1,1,3,0,5.4,4.6,2,6.6,45,23,98,0.41,0,0.41,0.33,0.33,0.44,0.17,0.61,0.38,0.54
1350,Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,21-094,2002,19,12,1076,12,1,1,2,1,0,0,1,0,0.7,0.7,1.3,2.1,39,32,50,0.08,0.08,0.17,0.08,0.17,0.06,0.11,0.17,0.06,0.17
1351,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,30-327,1992,26,26,2333,25.9,2,1,3,1,1,2,4,0,2.4,0.8,0.4,1.2,8,70,5,0.08,0.04,0.12,0.04,0.08,0.09,0.02,0.11,0.03,0.05
1352,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,25-129,1997,20,20,1800,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,Robin Koch,de GER,DF,Leeds United,eng Premier League,26-271,1996,29,29,2545,28.3,0,0,0,0,0,0,6,0,0.8,0.8,0.1,0.9,9,90,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03
1354,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,29-073,1994,24,21,1779,19.8,3,0,3,3,0,0,6,0,1.5,1.5,0.9,2.4,9,120,31,0.15,0,0.15,0.15,0.15,0.07,0.05,0.12,0.07,0.12
1355,Koke,es ESP,MF,Atlético Madrid,es La Liga,31-096,1992,24,21,1778,19.8,0,3,3,0,0,0,4,0,0.6,0.6,1.3,1.9,11,133,30,0,0.15,0.15,0,0.15,0.03,0.06,0.1,0.03,0.1
1356,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,29-298,1993,25,19,1575,17.5,4,1,5,4,0,0,2,0,3.5,3.5,0.9,4.4,38,77,63,0.23,0.06,0.29,0.23,0.29,0.2,0.05,0.25,0.2,0.25
1357,Luca Koleosho,it ITA,FWDF,Espanyol,es La Liga,18-211,2004,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
1358,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,de Bundesliga,24-130,1998,26,25,2139,23.8,12,10,22,10,2,2,4,1,10.3,8.8,5.2,14,79,46,194,0.5,0.42,0.93,0.42,0.84,0.43,0.22,0.65,0.37,0.59
