Rk,Gls.Stan,Sh.Stan,SoT.Stan,SoT%.Stan,Sh/90.Stan,SoT/90.Stan,G/Sh.Stan,G/SoT.Stan,Dist.Stan,FK.Stan,PK.Stan,PKatt.Stan,xG,npxG,npxG/Sh,G-xG,np:G-xG
2452,7,49,15,30.6,2.39,0.73,0.12,0.4,20.4,3,1,1,3.8,3,0.06,+3.2,+3.0
2453,0,3,1,33.3,1.6,0.53,0,0,11.2,0,0,0,0.5,0.5,0.17,-0.5,-0.5
2454,2,14,7,50,0.64,0.32,0.14,0.29,12.6,0,0,0,1.3,1.3,0.09,+0.7,+0.7
2455,7,21,12,57.1,2.53,1.45,0.14,0.25,13.7,0,4,5,7.5,3.6,0.17,-0.5,-0.6
2456,1,3,1,33.3,0.22,0.07,0.33,1,21,0,0,0,0.4,0.4,0.12,+0.6,+0.6
2457,0,2,1,50,0.44,0.22,0,0,11.9,0,0,0,0.4,0.4,0.21,-0.4,-0.4
2458,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2459,0,1,0,0,0.13,0,0,,23,0,0,0,0.1,0.1,0.06,-0.1,-0.1
2460,0,32,4,12.5,1.7,0.21,0,0,16.1,0,0,0,3.1,3.1,0.1,-3.1,-3.1
2461,1,21,5,23.8,1.18,0.28,0.05,0.2,16.5,0,0,0,1.5,1.5,0.07,-0.5,-0.5
2462,0,8,3,37.5,2.02,0.76,0,0,23.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
2463,0,15,3,20,2.16,0.43,0,0,19.6,0,0,0,0.8,0.8,0.05,-0.8,-0.8
2464,1,13,3,23.1,3.59,0.83,0.08,0.33,17.6,0,0,0,1.4,1.4,0.11,-0.4,-0.4
2465,4,24,9,37.5,1.95,0.73,0.17,0.44,15,0,0,0,2.5,2.5,0.11,+1.5,+1.5
2466,0,6,3,50,0.54,0.27,0,0,16.8,0,0,0,0.6,0.6,0.11,-0.6,-0.6
2467,1,9,2,22.2,2.88,0.64,0.11,0.5,11.6,0,0,0,1.8,1.8,0.2,-0.8,-0.8
2468,1,14,5,35.7,1.82,0.65,0.07,0.2,23.1,1,0,0,0.7,0.7,0.05,+0.3,+0.3
2469,2,21,7,33.3,1.33,0.44,0.1,0.29,17.4,4,0,0,2.5,2.5,0.12,-0.5,-0.5
2470,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2471,0,7,0,0,0.78,0,0,,16.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
2472,0,9,3,33.3,0.59,0.2,0,0,17.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
2473,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2474,4,43,21,48.8,1.95,0.95,0.09,0.19,24.1,9,0,0,3,3,0.07,+1.0,+1.0
2475,9,45,22,48.9,2.32,1.13,0.2,0.41,12,0,0,0,8.9,8.9,0.2,+0.1,+0.1
2476,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2477,1,18,5,27.8,0.65,0.18,0.06,0.2,15.6,0,0,0,2.2,1.7,0.1,-1.2,-0.7
2478,1,8,2,25,0.37,0.09,0.13,0.5,9.3,0,0,0,1,1,0.12,0,0
2479,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2480,0,1,0,0,0.48,0,0,,6.5,0,0,0,0.3,0.3,0.31,-0.3,-0.3
2481,2,20,6,30,1.24,0.37,0.1,0.33,19,0,0,0,1.9,1.9,0.09,+0.1,+0.1
2482,1,7,4,57.1,0.23,0.13,0.14,0.25,9.3,0,0,0,0.7,0.7,0.09,+0.3,+0.3
2483,0,8,1,12.5,0.32,0.04,0,0,20.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7
2484,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2485,0,8,2,25,0.79,0.2,0,0,19.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5
2486,1,11,1,9.1,0.42,0.04,0,0,16.3,0,1,2,2.3,0.7,0.06,-1.3,-0.7
2487,3,10,2,20,0.89,0.18,0,0,29.8,1,3,3,2.9,0.5,0.05,+0.1,-0.5
2488,0,1,0,0,0.21,0,0,,25.8,0,0,0,0,0,0.01,0,0
2489,1,24,7,29.2,0.8,0.23,0.04,0.14,9.2,0,0,0,2.1,2.1,0.09,-1.1,-1.1
2490,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2491,0,1,0,0,0.97,0,0,,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2492,6,58,17,29.3,2.47,0.72,0.1,0.35,19.5,0,0,0,4.1,4.1,0.07,+1.9,+1.9
2493,4,31,12,38.7,1.86,0.72,0.13,0.33,17.2,2,0,0,2.6,2.6,0.09,+1.4,+1.4
2494,1,4,2,50,0.36,0.18,0.25,0.5,18.8,0,0,0,0.4,0.4,0.09,+0.6,+0.6
2495,0,26,4,15.4,1.64,0.25,0,0,22.3,0,0,0,1.2,1.2,0.05,-1.2,-1.2
2496,4,15,7,46.7,4.23,1.97,0.27,0.57,16.2,0,0,0,1.6,1.6,0.11,+2.4,+2.4
2497,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2498,0,11,1,9.1,0.98,0.09,0,0,23.3,1,0,0,0.4,0.4,0.03,-0.4,-0.4
2499,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2500,3,36,15,41.7,2.28,0.95,0.08,0.2,12.8,0,0,1,4.9,4.2,0.12,-1.9,-1.2
2501,0,4,3,75,0.58,0.43,0,0,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2502,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2503,0,8,2,25,1.81,0.45,0,0,25.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5
2504,0,4,0,0,1.7,0,0,,25.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2505,9,47,27,57.4,3.21,1.84,0.19,0.33,15.2,0,0,0,5.6,5.6,0.12,+3.4,+3.4
2506,0,6,1,16.7,1.07,0.18,0,0,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2507,1,12,1,8.3,2.1,0.18,0.08,1,19.7,0,0,0,1.3,1.3,0.11,-0.3,-0.3
2508,6,30,13,43.3,2.44,1.06,0.2,0.46,16.5,1,0,0,4.2,4.2,0.14,+1.8,+1.8
2509,0,10,3,30,0.48,0.14,0,0,19.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
2510,0,4,1,25,1.3,0.32,0,0,17.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
2511,2,18,6,33.3,0.62,0.21,0.11,0.33,8.4,0,0,0,3.2,3.2,0.18,-1.2,-1.2
2512,0,4,2,50,0.47,0.23,0,0,9.7,0,0,0,0.6,0.6,0.14,-0.6,-0.6
2513,0,2,1,50,0.67,0.33,0,0,8.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
2514,1,10,4,40,1.54,0.62,0.1,0.25,20,0,0,0,0.6,0.6,0.06,+0.4,+0.4
2515,0,7,0,0,1.1,0,0,,14.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8
2516,0,2,0,0,0.25,0,0,,11.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2517,0,17,5,29.4,1.63,0.48,0,0,12.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5
2518,2,11,4,36.4,1.34,0.49,0.18,0.5,13.3,0,0,0,1.8,1.8,0.16,+0.2,+0.2
2519,1,8,3,37.5,1.01,0.38,0.13,0.33,14.8,0,0,0,0.6,0.6,0.07,+0.4,+0.4
2520,2,17,7,41.2,1.51,0.62,0.12,0.29,16,0,0,0,1.9,1.9,0.11,+0.1,+0.1
2521,13,81,42,51.9,3.35,1.74,0.16,0.31,12.9,0,0,0,14.7,14.7,0.18,-1.7,-1.7
2522,2,33,9,27.3,1.36,0.37,0.06,0.22,18.6,0,0,0,2.9,2.9,0.09,-0.9,-0.9
2523,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2524,3,22,7,31.8,1.16,0.37,0.09,0.29,27.6,1,1,2,2.3,0.7,0.03,+0.7,+1.3
2525,0,6,2,33.3,1.01,0.34,0,0,24.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
2526,5,23,8,34.8,1.5,0.52,0.22,0.63,12.2,0,0,0,3.2,3.2,0.14,+1.8,+1.8
2527,0,9,2,22.2,0.34,0.08,0,0,14.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5
2528,0,6,2,33.3,0.61,0.2,0,0,17.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
2529,0,4,0,0,1.48,0,0,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2530,1,14,3,21.4,2.17,0.47,0.07,0.33,13.6,0,0,0,2,2,0.14,-1,-1
2531,4,41,19,46.3,2.73,1.26,0.1,0.21,14.7,0,0,0,4.4,4.4,0.11,-0.4,-0.4
2532,1,14,6,42.9,0.88,0.38,0.07,0.17,22.9,0,0,0,0.9,0.9,0.06,+0.1,+0.1
2533,0,5,0,0,0.22,0,0,,18.1,0,0,0,0.5,0.5,0.1,-0.5,-0.5
2534,1,23,7,30.4,1.05,0.32,0.04,0.14,12.2,0,0,0,2.4,2.4,0.1,-1.4,-1.4
2535,0,18,6,33.3,5.02,1.67,0,0,21.4,0,0,1,2.5,1.7,0.1,-2.5,-1.7
2536,2,24,9,37.5,2.13,0.8,0.08,0.22,20.5,0,0,0,2.2,2.2,0.09,-0.2,-0.2
2537,0,3,0,0,0.41,0,0,,12.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2
