,Tota,Tota,Tota,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,,,,,,,,,
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
457,40,49,81.6,548,115,25,28,89.3,14,16,87.5,1,3,33.3,0,0,0,0,0,3,1,0,3,Matches
458,1167,1330,87.7,19093,5195,567,616,92,476,522,91.2,86,124,69.4,1,0.5,2.1,+0.5,5,131,10,1,134,Matches
459,960,1283,74.8,13655,3571,556,640,86.9,272,368,73.9,65,131,49.6,7,6.2,5.8,+0.8,63,57,61,5,164,Matches
460,442,587,75.3,5859,766,264,338,78.1,131,162,80.9,16,27,59.3,3,3.2,2.5,-0.2,39,20,15,2,32,Matches
461,28,36,77.8,328,29,21,24,87.5,6,8,75,0,0,,1,0.4,0.6,+0.6,3,0,2,0,2,Matches
462,1313,1548,84.8,20304,6564,694,779,89.1,473,527,89.8,85,122,69.7,0,1.7,2.4,-1.7,24,172,16,1,154,Matches
463,809,1078,75,14516,5604,342,388,88.1,379,464,81.7,78,179,43.6,0,0.1,0.5,-0.1,4,66,15,4,97,Matches
464,540,735,73.5,9096,3232,276,313,88.2,208,281,74,47,100,47,1,0.5,0.6,+0.5,9,50,10,4,62,Matches
465,496,725,68.4,13104,9639,124,125,99.2,201,204,98.5,160,382,41.9,0,0,0,0,1,17,0,0,0,Matches
466,209,324,64.5,2936,715,129,167,77.2,52,72,72.2,14,45,31.1,2,1.7,1.6,+0.3,15,10,6,2,18,Matches
467,584,777,75.2,9338,3012,283,324,87.3,237,299,79.3,41,79,51.9,0,0.7,0.8,-0.7,10,32,12,7,43,Matches
468,4,4,100,69,23,2,2,100,2,2,100,0,0,,0,0,0,0,0,1,1,0,2,Matches
469,1916,2195,87.3,41010,14893,517,563,91.8,1082,1126,96.1,294,460,63.9,0,0.2,1,-0.2,4,92,8,1,99,Matches
470,7,13,53.8,148,51,2,5,40,3,5,60,2,2,100,0,0,0,0,0,2,0,0,1,Matches
471,947,1253,75.6,12875,4031,589,665,88.6,232,306,75.8,61,145,42.1,6,7,6.9,-1,54,38,43,10,84,Matches
472,208,302,68.9,2561,422,134,177,75.7,42,65,64.6,9,14,64.3,0,0.3,0.4,-0.3,6,14,2,0,13,Matches
473,1020,1193,85.5,16957,4438,522,568,91.9,396,459,86.3,87,122,71.3,3,2.4,2.8,+0.6,25,51,24,8,73,Matches
474,1157,1321,87.6,19636,5794,592,643,92.1,432,485,89.1,110,141,78,3,1.5,1.4,+1.5,22,134,24,0,163,Matches
475,957,1195,80.1,16387,5759,429,498,86.1,421,502,83.9,78,127,61.4,1,1,1.3,0,11,63,12,4,91,Matches
476,1695,1989,85.2,30880,10039,782,857,91.2,630,743,84.8,227,288,78.8,3,2.8,2.9,+0.2,26,194,21,4,162,Matches
477,1113,1627,68.4,18719,7079,547,631,86.7,435,606,71.8,101,291,34.7,3,2.8,2.4,+0.2,28,71,32,16,96,Matches
478,324,486,66.7,9565,7217,58,58,100,134,139,96.4,128,283,45.2,0,0.1,0,-0.1,1,4,0,0,0,Matches
479,351,434,80.9,6813,1909,138,157,87.9,149,164,90.9,57,83,68.7,0,0.5,0.6,-0.5,8,47,4,0,45,Matches
480,1,1,100,51,0,0,0,,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,Matches
481,1077,1330,81,16391,5539,611,694,88,393,467,84.2,56,101,55.4,0,1.5,1,-1.5,15,66,14,8,72,Matches
482,843,1079,78.1,24035,16216,144,145,99.3,389,395,98.5,307,532,57.7,0,0,0,0,0,13,0,0,1,Matches
483,1036,1208,85.8,19254,7350,369,417,88.5,531,579,91.7,105,167,62.9,0,0.2,0.3,-0.2,6,97,5,1,95,Matches
484,54,65,83.1,847,210,38,39,97.4,9,11,81.8,6,12,50,0,0.2,0.2,-0.2,2,5,4,3,5,Matches
485,112,169,66.3,1813,538,55,64,85.9,40,57,70.2,10,28,35.7,1,0.4,0.4,+0.6,4,10,3,1,13,Matches
486,509,610,83.4,7860,2250,280,317,88.3,188,218,86.2,31,42,73.8,0,1.3,0.7,-1.3,11,20,7,4,35,Matches
