,SCA,SCA,SCA,SCA,SCA,SCA,SCA,SCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA
Rk,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
106,101,3.63,77,3,6,9,4,2,6,0.22,5,0,0,1,0,0
107,38,3.17,21,10,1,1,5,0,5,0.42,3,2,0,0,0,0
108,15,0.64,13,1,1,0,0,0,0,0,0,0,0,0,0,0
109,75,2.53,35,31,2,2,3,2,10,0.34,4,4,1,0,0,1
110,75,3.21,31,22,2,5,15,0,11,0.47,7,1,0,0,3,0
111,41,2.34,35,3,1,1,1,0,6,0.34,5,0,1,0,0,0
112,14,0.48,12,0,1,1,0,0,2,0.07,2,0,0,0,0,0
113,15,0.59,12,0,0,2,1,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,4,1.91,1,2,0,0,1,0,0,0,0,0,0,0,0,0
117,6,3.33,5,0,0,1,0,0,1,0.56,0,0,0,1,0,0
118,9,1.84,6,1,1,0,1,0,0,0,0,0,0,0,0,0
119,36,2.29,22,0,5,6,3,0,3,0.19,2,0,0,0,1,0
120,54,3.3,42,2,2,3,4,1,3,0.18,1,0,1,0,1,0
121,89,2.97,71,0,7,9,2,0,7,0.23,5,0,1,1,0,0
122,106,3.19,56,45,2,0,3,0,4,0.12,2,1,0,0,1,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,48,2.6,30,5,1,4,7,1,8,0.43,3,0,0,2,3,0
125,17,2.05,10,0,3,1,2,1,5,0.6,3,0,1,1,0,0
126,5,0.96,3,2,0,0,0,0,0,0,0,0,0,0,0,0
127,49,2.74,35,0,4,6,3,1,7,0.39,6,0,0,0,1,0
128,39,1.48,32,1,1,1,2,2,1,0.04,1,0,0,0,0,0
129,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,13.85,2,0,0,0,0,0,0,0,0,0,0,0,0,0
131,70,3.64,42,12,5,9,2,0,6,0.31,3,0,1,2,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,7,0.84,5,0,2,0,0,0,1,0.12,1,0,0,0,0,0
134,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,30,2,22,3,0,3,2,0,3,0.2,3,0,0,0,0,0
136,120,3.5,90,7,6,11,6,0,15,0.44,9,0,1,5,0,0
137,18,2.63,13,0,0,3,2,0,1,0.15,1,0,0,0,0,0
138,11,1.26,8,3,0,0,0,0,1,0.11,0,1,0,0,0,0
139,31,2.45,22,0,3,1,4,1,3,0.24,2,0,0,0,1,0
140,22,1.91,14,0,2,4,2,0,3,0.26,2,0,0,1,0,0
141,15,1.25,13,0,0,2,0,0,3,0.25,3,0,0,0,0,0
142,5,0.18,4,1,0,0,0,0,0,0,0,0,0,0,0,0
143,49,1.84,34,4,5,1,3,2,2,0.08,2,0,0,0,0,0
144,1,1.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,13,1.48,9,3,0,0,0,1,1,0.11,0,1,0,0,0,0
146,16,1.43,13,1,0,2,0,0,1,0.09,1,0,0,0,0,0
147,47,2.26,26,4,4,6,7,0,4,0.19,2,1,0,0,1,0
148,68,2.82,46,0,8,11,3,0,6,0.25,2,0,2,1,1,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,61,2.72,41,1,2,3,13,1,6,0.27,5,0,0,0,1,0
151,8,0.53,8,0,0,0,0,0,0,0,0,0,0,0,0,0
152,33,1.31,24,1,0,7,0,1,5,0.2,1,0,0,3,0,1
153,1,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,13,3.26,12,0,0,1,0,0,1,0.25,1,0,0,0,0,0
155,48,2.09,43,0,2,3,0,0,8,0.35,6,0,1,1,0,0
156,26,1.21,20,0,1,4,0,1,3,0.14,1,0,0,2,0,0
157,13,2.27,9,0,0,2,2,0,2,0.35,1,0,0,0,1,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,5,0.46,3,0,0,2,0,0,1,0.09,0,0,0,1,0,0
160,72,2.28,64,0,1,1,2,4,2,0.06,0,0,1,0,1,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,15,0.73,11,0,0,3,0,1,1,0.05,0,0,0,1,0,0
163,3,1.99,3,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,15,1.23,13,0,0,1,1,0,1,0.08,1,0,0,0,0,0
168,20,2.37,15,0,1,2,2,0,1,0.12,1,0,0,0,0,0
169,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,104,4.55,66,21,8,5,1,3,7,0.31,5,1,0,1,0,0
173,13,3.3,11,0,1,1,0,0,3,0.76,3,0,0,0,0,0
174,3,0.88,2,0,0,0,1,0,0,0,0,0,0,0,0,0
175,7,1.26,6,0,0,0,0,1,0,0,0,0,0,0,0,0
176,37,1.83,34,0,1,1,1,0,6,0.3,6,0,0,0,0,0
177,82,3.02,60,4,4,7,7,0,9,0.33,5,0,0,1,3,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3,1.44,2,0,0,0,1,0,0,0,0,0,0,0,0,0
181,1,1.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,23,1.68,14,0,1,4,3,1,2,0.15,1,0,0,0,1,0
183,2,0.64,2,0,0,0,0,0,0,0,0,0,0,0,0,0
184,23,1.02,19,2,0,1,1,0,1,0.04,0,0,0,0,1,0
185,6,0.57,3,1,1,1,0,0,2,0.19,1,1,0,0,0,0
186,94,2.69,68,13,6,2,3,2,5,0.14,4,0,1,0,0,0
187,13,2.62,11,0,1,0,1,0,2,0.4,2,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,7,1.38,7,0,0,0,0,0,0,0,0,0,0,0,0,0
190,89,3.3,47,25,9,3,4,1,7,0.26,5,0,1,1,0,0
191,13,2.09,9,0,1,2,1,0,3,0.48,2,0,1,0,0,0
192,58,2.67,46,4,3,3,1,1,4,0.18,4,0,0,0,0,0
193,5,0.37,4,0,0,1,0,0,0,0,0,0,0,0,0,0
194,4,2.9,3,0,0,0,0,1,2,1.45,1,0,0,0,0,1
195,21,2.07,16,0,4,1,0,0,1,0.1,1,0,0,0,0,0
196,70,2.69,57,1,4,6,2,0,9,0.35,6,0,1,1,1,0
197,1,4.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,11,3.74,9,0,1,1,0,0,2,0.68,2,0,0,0,0,0
201,45,1.56,40,3,1,0,0,1,4,0.14,4,0,0,0,0,0
202,83,4.39,44,23,3,8,5,0,5,0.26,2,2,1,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,20,1.21,18,0,1,0,1,0,2,0.12,1,0,0,0,1,0
205,140,4.32,116,0,10,6,6,2,21,0.65,18,0,1,1,1,0
206,21,2.18,12,0,2,2,4,1,2,0.21,0,0,0,1,1,0
207,18,9,13,3,1,1,0,0,3,1.5,3,0,0,0,0,0
208,3,1.69,2,1,0,0,0,0,0,0,0,0,0,0,0,0
209,18,2,12,0,0,3,3,0,1,0.11,1,0,0,0,0,0
210,63,2.7,48,0,7,4,3,1,13,0.56,11,0,0,2,0,0
211,8,0.71,7,0,0,0,1,0,2,0.18,2,0,0,0,0,0
212,32,1.61,19,0,2,5,5,1,4,0.2,2,0,0,0,2,0
213,14,2.31,10,0,3,0,1,0,3,0.49,2,0,1,0,0,0
214,22,1.21,12,9,1,0,0,0,1,0.06,1,0,0,0,0,0
215,87,3.67,65,11,3,4,4,0,10,0.42,8,1,0,1,0,0
216,3,1.29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
217,12,0.54,8,1,0,3,0,0,0,0,0,0,0,0,0,0
218,2,1.23,1,1,0,0,0,0,0,0,0,0,0,0,0,0
219,15,4.69,8,3,0,2,0,2,1,0.31,0,1,0,0,0,0
220,9,0.83,5,1,1,2,0,0,3,0.28,1,1,0,1,0,0
221,6,2.58,2,3,1,0,0,0,1,0.43,0,1,0,0,0,0
222,12,5.87,4,6,0,0,2,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,45,1.75,39,0,2,2,0,2,5,0.19,5,0,0,0,0,0
225,80,3.15,49,22,3,4,1,1,5,0.2,3,1,0,1,0,0
226,3,1.85,2,0,0,1,0,0,0,0,0,0,0,0,0,0
227,13,0.99,10,0,1,0,2,0,0,0,0,0,0,0,0,0
228,8,0.43,7,0,0,1,0,0,0,0,0,0,0,0,0,0
229,2,0.06,0,2,0,0,0,0,0,0,0,0,0,0,0,0
230,29,1.2,20,1,2,5,0,1,2,0.08,1,0,0,1,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,53,2.53,43,0,3,1,4,2,4,0.19,3,0,0,0,0,1
233,2,4,0,0,0,0,2,0,1,2,0,0,0,0,1,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,5,1.86,3,0,0,0,1,1,0,0,0,0,0,0,0,0
236,39,4.05,19,6,5,5,4,0,5,0.52,1,1,2,0,1,0
237,57,2.45,41,2,6,6,2,0,7,0.3,4,0,1,2,0,0
238,27,0.78,20,3,1,0,3,0,1,0.03,1,0,0,0,0,0
239,11,1.19,4,7,0,0,0,0,0,0,0,0,0,0,0,0
240,72,3.69,59,0,3,2,8,0,11,0.56,9,0,2,0,0,0
241,22,0.75,16,3,0,1,0,2,1,0.03,1,0,0,0,0,0
