,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Expe,Expe,Expe,Expe,Expe
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2016,2,14,4,28.6,0.47,0.13,0.14,0.5,9.2,0,0,0,2.2,2.2,0.16,-0.2,-0.2
2017,2,21,3,14.3,2.41,0.34,0.1,0.67,21.5,0,0,0,1.3,1.3,0.06,+0.7,+0.7
2018,9,37,12,32.4,1.99,0.65,0.14,0.42,19,5,4,5,9.3,5.4,0.15,-0.3,-0.4
2019,1,6,3,50,0.82,0.41,0.17,0.33,22.8,1,0,0,0.3,0.3,0.04,+0.7,+0.7
2020,2,27,6,22.2,1.05,0.23,0.07,0.33,16,0,0,0,1.9,1.9,0.07,+0.1,+0.1
2021,0,7,2,28.6,1.1,0.31,0,0,20.7,0,0,0,0.7,0.7,0.1,-0.7,-0.7
2022,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2023,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2024,3,27,7,25.9,4.71,1.22,0.07,0.29,19.2,0,1,2,3.5,1.9,0.07,-0.5,+0.1
2025,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2026,0,1,1,100,3.91,3.91,0,0,21.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2027,1,14,2,14.3,0.55,0.08,0.07,0.5,20,0,0,0,0.9,0.9,0.07,+0.1,+0.1
2028,2,10,4,40,0.82,0.33,0.2,0.5,30.8,0,0,0,0.8,0.8,0.08,+1.2,+1.2
2029,0,1,0,0,0.05,0,0,,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2030,2,58,12,20.7,2.28,0.47,0.03,0.17,21.8,6,0,0,3.1,3.1,0.05,-1.1,-1.1
2031,1,8,2,25,0.29,0.07,0.13,0.5,12.5,0,0,0,0.4,0.4,0.05,+0.6,+0.6
2032,0,4,1,25,2.93,0.73,0,0,21.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4
2033,0,4,0,0,0.21,0,0,,7.6,0,0,0,0.9,0.9,0.22,-0.9,-0.9
2034,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2035,1,16,5,31.3,0.64,0.2,0.06,0.2,22.7,6,0,0,0.9,0.9,0.06,+0.1,+0.1
2036,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2037,0,6,3,50,0.64,0.32,0,0,16.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
2038,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2039,4,22,10,45.5,1.29,0.59,0.14,0.3,18,0,1,1,6,5.2,0.24,-2,-2.2
2040,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2041,0,1,0,0,1.08,0,0,,30,0,0,0,0,0,0.02,0,0
2042,9,86,33,38.4,2.87,1.1,0.09,0.24,19.4,3,1,1,9.8,9,0.11,-0.8,-1
2043,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2044,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2045,1,8,2,25,0.86,0.21,0.13,0.5,27.3,0,0,0,0.4,0.4,0.05,+0.6,+0.6
2046,2,15,5,33.3,0.5,0.17,0.07,0.2,24.8,3,1,1,1.5,0.7,0.05,+0.5,+0.3
2047,0,16,4,25,0.97,0.24,0,0,21.8,0,0,0,0.7,0.7,0.04,-0.7,-0.7
